кру́пный;duży,tęgi
заря́дка;gimnastyka, ładowanie, naładowanie
одева́ть;ubierać 
переры́в;przerwa 
успева́ть;zdążać, nadążać
э́то зави́сит ; to zależy
зави́сеть;zależeć  
#зави́сеть ot (ot) (+ genitive case) 
не об э́том;nie o tym
число́;liczba
научи́ться;nauczyć się
сло́жный;złożony ,skomplikowany
  
